"","category","name","reviewer","review","date","ratings"
"1","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Emma Carl","Deceiving bigger than you think. Great bag and goes with a lot of stuff. Definitely recommend","Reviewed in the United Kingdom on 17 February 2024","4.3 out of 5 stars"
"2","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Bridget Baffour","Liked everything about this product","Reviewed in the United Kingdom on 21 January 2024","5.0 out of 5 stars"
"3","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Emma Carl","Buttery soft and surprisingly roomy, a great addition.","Reviewed in the United Kingdom on 17 February 2024","1.0 out of 5 stars"
"4","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Amazon Customer","Not good 😐","Reviewed in the United Kingdom on 17 December 2023","5.0 out of 5 stars"
"5","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Amazon Customer","It was very small for the cost little disappointed  if honest","Reviewed in the United Kingdom on 19 February 2023","5.0 out of 5 stars"
"6","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Bridget Baffour","Nice bag . Great choice of colours The picture shows it over someone’s shoulder . That is not happening!","Reviewed in the United Kingdom on 21 January 2024","5.0 out of 5 stars"
"7","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","jilllliian hudson","The bag is very cute but not worth the price. The quality makes it worth £8-£10.","Reviewed in the United Kingdom on 4 July 2022","1.0 out of 5 stars"
"8","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Helmi & son","Got this during the Thanksgiving sales for about 20% off and I think the sale price is the more appropriate price point. This bag is lovely - the material is soft and supple, has enough room for the essentials (phone, keys, mirror, gloss). Has a small inner, zipped pocket that could hold some cash/cards. Handle fits easily over my forearm for a cute dainty look.","Reviewed in the United Kingdom on 13 September 2022","3.0 out of 5 stars"
"9","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Sara","Bonita bolsa de mano, tal como la queria -comentario de mi esposa- quedo satisfecha con la compra","Reviewed in the United Kingdom on 12 September 2021","5.0 out of 5 stars"
"10","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Emma Carl","Un peu déçue car je trouve qu'il est vraiment petit","Reviewed in the United Kingdom on 17 February 2024","4.3 out of 5 stars"
"11","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Bridget Baffour","Excelente","Reviewed in the United Kingdom on 21 January 2024","5.0 out of 5 stars"
"12","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Filipe","I love how cute this purse is.  I love the colour.  I got this earlier this year.  I used it for a recent wedding, and I've used it on date night.  You can pack a few things in there really well, like your phone,  small wallet/pouch,  make up,  and a few other things.  It  is really soft and durable!","Reviewed in France on 17 October 2023","1.0 out of 5 stars"
"13","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Filipe","✋PREMESSA: cercavo una borsa per l'estate che non fosse ingombrante e, soprattutto, che fosse esteticamente piacevole. Bene, l'ho trovata.👍MATERIALI: di qualità. Al tatto la sensazione è piacevolissima, liscia e vellutata.👍DESIGN: elegante. Da notare la chiusura magnetica (che funziona benissimo), lo reputo un vero tocco di classe. Tenete a mente che non è molto capiente, non pretendete di metterci dentro oggetti ""superflui"".👍VALUTAZIONE: dico solo che appena l'ho acquistata, ne ho comprata subito una seconda per mia madre. Credo sia una borsa versatile per ogni tipo di occasione - giorno o sera - lavoro o svago, non pretenziosa, ma che si nota ugualmente. Per il prezzo pagato non ci si aspetta così tanto. Consigliatissima!","Reviewed in Mexico on 25 February 2023","4.0 out of 5 stars"
"14","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","SERGIO C.hiroles","Lo tube que devolver porque el color no me pegaba y es muy pequeño pero es muy suave y bonito","Reviewed in Canada on 30 June 2023","4.0 out of 5 stars"
"15","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Amazon Customer","Love this bag","Reviewed in Italy on 7 June 2023","5.0 out of 5 stars"
"16","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Alice","Love the design and quality. I wish it had a zipper and the strap was bigger to fit under my arm. You can only hold it.","Reviewed in Spain on 31 July 2022","5.0 out of 5 stars"
"17","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Silvisan06","Bellissima ! Oltre le aspettative compreso il prezzo ! Comprerò un altro colore ! Presa color cammello ! Stupenda !!!! Consiglio","Reviewed in the United States on 6 March 2024","5.0 out of 5 stars"
"18","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Amazon Customer","Das ist eine Tasche,für einen Teenager.Will man eine Brieftasche,Portemonaie,Haus-und Autoschlüssel mitnehmen,darf man kein Taschentuch mitnehmen.Schlüssel  und  Bargeld sollte man ins Bahnschließfach geben.Ansonsten ok","Reviewed in Canada on 6 January 2023","5.0 out of 5 stars"
"19","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Emma Carl","Imballato con cura, rispetta la descrizione. Borsetta a mano in morbidissima pelle","Reviewed in the United Kingdom on 17 February 2024","4.3 out of 5 stars"
"20","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","Bridget Baffour","This purse is adorable and high quality, especially for the price. It’s more spacious that I expected which was a huge bonus.","Reviewed in the United Kingdom on 21 January 2024","5.0 out of 5 stars"
"21","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","LucTer","Aún no tengo fiesta 27 de Agusto","Reviewed in Italy on 13 December 2023","1.0 out of 5 stars"
"22","Handbags","The Drop Women's Addison Soft Volume Top-Handle Bag, Chocolate, One Size","LucTer","Well made, for what it is.  Used it a few times with no issues.  Photos depict the product well. Will probably decompose by the time I'm bored of the trend,  so the price makes complete sense.  Fun purse. I recommend if you want a trendy pop of Kelly Green in this season's wardrobe.","Reviewed in the United States on 2 January 2024","5.0 out of 5 stars"
