"","Category","Name","Price","Ratings","Num_of_reviews"
"1","Handbags","MORGLOVE Women's Tote Bag Large Handbag Soft Leather Simple Shoulder Bag with Zipper for School Work Leisure (A-Black)","£10.82","4.1 out of 5 stars","1,756"
"2","Handbags","haipky Women Handbag Top Handle Elegant Embroidery Shoulder Bags Classic Shopper Ladies Crossbody Handbags","£18.32","4.6 out of 5 stars","70"
"3","Handbags","Miss Lulu Women Tote Bag, Soft PU Leather Shoulder Bag, Fashion Large Handbag for Working Ladies, Simple Elegant Gift for Office Travel School Library Shopping","£16.66","4.3 out of 5 stars","48"
"4","Handbags","Mabel London Womens Multiple Pockets Handbag - Medium Size Multi Compartments Bag","£24.99","4.4 out of 5 stars","4,024"
"5","Handbags","Pomelo Best Handbags for Ladies with Multiple Interior Pockets and Pretty Colour Combination (Brown/Grey)","£21.66","4.7 out of 5 stars","6,635"
"6","Handbags","Miss Lulu Handbag for Women, Woven and Chevron Pattern, M Logo on the Front, Top Handle or Shoulder Bag, Golden Hardware","£24.16","4.5 out of 5 stars","4,993"
"7","Handbags","Miss Lulu Women Fashion Handbag Shoulder Bag Purse Faux Leather Tote 3 Piece","£24.99","4.4 out of 5 stars","5,428"
"8","Handbags","Mabel London Womens Multiple Pockets Handbag - Medium Size Multi Compartments Bag","£13.32","4.4 out of 5 stars","4,024"
"9","Handbags","KALIDI Thicken Corduroy Totes Bag Extra Large Capacity Handbags Shoulder Bags with Zipper Cord Tote Bag for Women Ladies Girls Casual Shopping Bag for Work School College Daily Use","£31.99","4.5 out of 5 stars","2,681"
"10","Handbags","NICOLE & DORIS 2024 New Handbags for women Fashion Ladies Handbags & Shoulder Bags Designer Top Handle Bag with Pompom Grey","£10.82","4.3 out of 5 stars","5,000"
"11","Handbags","WuXingMeiLi Water Soft PU leather Purses and Shoulder Handbags for Women Crossbody Bag Cross Body Messenger Bags","£19.16","4.4 out of 5 stars","270"
"12","Handbags","Aileese Womens Handbags Soft Leather Large Capacity Retro Vintage Top-Handle Casual Pocket Tote Shoulder Cross-Body Bags Brown","£14.99","4.1 out of 5 stars","1,187"
"13","Handbags","wocharm PU Leather Ladies Shoulder Bag, Top Handle Bag, Womens Handbags Fashion Tote Bag for Casual & Work","£33.32","4.3 out of 5 stars","141"
"14","Handbags","Pomelo Best Handbags for Ladies with Multiple Interior Pockets and Pretty Colour Combination","£19.07","4.7 out of 5 stars","6,635"
"15","Handbags","VINBAGGE Ladies Leather Handbag Designer Top-Handle Bag Vintage Tote Crossbody Shoulder Bag Fashion Clutch for Women - Black","£21.57","4.3 out of 5 stars","3,402"
"16","Handbags","Women Handbags Hobo Bag Tote Bags Shoulder Bag Soft Washed Leather Multifunctional Messenger Bag","£16.65","4.5 out of 5 stars","372"
"17","Handbags","ACNCN Women Handbags Shoulder Bag Crossbody Messenger Bag Tote Satchel for Lady PU Leather Purse","£17.49","3.9 out of 5 stars","285"
"18","Handbags","MORGLOVE Fashion Women PU Leather Handbag Top Handle bag Messenger Bag Shoulder Bag Tote Bag Card Purse in Gold （4 Pcs Set）","£20.23","4.4 out of 5 stars","2,586"
"19","Handbags","Milky Way Womens Nylon Crossbody Bag Waterproof Multi-Pocket Shoulder Tote Lightweight Travel Messenger Bag","£24.98","4.4 out of 5 stars","1,717"
"20","Handbags","FiveloveTwo Women Ladies 6 Pcs Handbag Set Hobo Top Handle Bag Totes Satchels Crossbody Shoulder Bags and Purse Clutch","£12.49","3.6 out of 5 stars","3,354"
"21","Handbags","FULEI Women Handbags Shoulder Bags Small Square Soft PU Leather Cross Body Ladies Bags Elegant Butterfly Decoration","£23.32","4.3 out of 5 stars","1,391"
"22","Handbags","LIN KANG Ladies Shoulder Bags Soft PU Leather Crossbody bag for Women Multi Pockets Lightweight Waterproof Crossbody Handbags for Travel Daily Use","£10.82","4.0 out of 5 stars","324"
"23","Handbags","Lily England Cross Body Bag Women - Over the Shoulder Bag with Adjustable Wide Strap & Chain - Versatile Crossbody Bags for Women with Multiple Pockets","£15.49","4.6 out of 5 stars","2,372"
"24","Handbags","Kipling Gabbie S Crossbody Women's","£19.99","4.7 out of 5 stars","3,436"
"25","Handbags","Miss Lulu Women Cross Body Bag Fashion Tassel Decoration Zipper Handbags Flap with Lock Closure Shoulder Bag","£27.37","4.5 out of 5 stars","2,510"
"26","Handbags","Calvin Klein Women's Elaine Bubble Lamb Novelty Satchel, One Size","£57.60","4.4 out of 5 stars","80"
"27","Handbags","NOTAG Crossbody Bags for Women, Lightweight Multi Pockets Crossbody Handbag Casual Waterproof Shoulder Bag, 2 Size (S, Black)","£78.30","4.5 out of 5 stars","14,857"
"28","Handbags","Miss Lulu Handbags for Women Cross Body Bags Ladies Fashion Shoulder Bag Girls PU Leather Top Handle Bag","£16.49","4.6 out of 5 stars","469"
"29","Handbags","Gladdon Hobo Bags for Women, Ladies Multi Pockets Top Handle Handbags, Vintage Cross-body Shoulder Satchel, Soft Leather Messenger Purse","£22.49","4.2 out of 5 stars","368"
"30","Handbags","Gladdon Hobo Bags for Women, Large Capacity Top Handle Bags with Multi Pocket, Tote Shoulder Handbags Faux Leather Crossbody Bag for Work School Travel","£79.26","4.3 out of 5 stars","670"
"31","Handbags","NICOLE&DORIS Women Top Handle Handbags Retro Crossbody Bag Ladies Fashion Shoulder Bag Purse Tote Embroidery","£81.83","4.6 out of 5 stars","1,541"
"32","Handbags","VINBAGGE Womens Leather Handbag Designer Shoulder Tote Crossbody Bag Elegant Top Handle Bag for Ladies","£14.16","4.4 out of 5 stars","251"
