"","Category","Name","Price","Ratings","Num_of_reviews"
"1","Suitcase","LUGG Travel Suitcase Set - Skywander 3-Piece Hard Shell Luggage, 20"" 24"" 28"" Strong & Lightweight with Secure TSA Lock, Smooth 360° Wheels & Resilient Handle - Airline Approved","£26.99","4.4 out of 5 stars","896"
"2","Suitcase","SHOWKOO Suitcase Large 28-Inch Expandable PC+ABS Hard Shell Travel Luggage Lightweight Durable High Capacity with Double Spinner Wheels TSA Lock, 28"" Army Green","£83.32","4.5 out of 5 stars","19,363"
"3","Suitcase","American Tourister Suitcase, Dark Navy (Blue) - 88752/1265, 78 cm, 120 L","£118.57","4.5 out of 5 stars","1,912"
"4","Suitcase","Kono Lightweight Polypropylene Medium Check in Luggage with 4 Spinner Wheels TSA Lock YKK Zipper Hard Shell Travel Trolley Suitcase (White, 65cm 66L)","£38.32","4.5 out of 5 stars","1,415"
"5","Suitcase","Amazon Basics Underseat Travel Luggage / Suitcase with Telescopic Handle and 2 In-line Skate Wheels - 36 cm, Black Quilted","£68.32","4.7 out of 5 stars","8,634"
"6","Suitcase","COOLIFE Suitcase Trolley Carry On Hand Cabin Luggage Hard Shell Travel Bag Lightweight with TSA Lock and 2 Year Warranty Durable 4 Spinner Wheels (Lemon Yellow, S(56cm 38L))","£86.96","4.6 out of 5 stars","3,321"
"7","Suitcase","Eastpak Tranverz S Suitcase, 51 cm, 42 L","£130.50","4.7 out of 5 stars","4,948"
"8","Suitcase","LEVEL8 Lightweight Carry-on Suitcase,Luggage Suitcase Set, ABS+PC Hardshell Spinner Trolley for Luggage with Double TSA Locks (Black, 36L/68L/104L,3 Pcs Set)","£341.66","4.5 out of 5 stars","5,475"
"9","Suitcase","COOLIFE Hard Shell Suitcase with TSA Lock and 4 Spinner Wheels Lightweight 2 Year Warranty Durable (Turquoise Green, S(56cm 38L))","£62.95","4.6 out of 5 stars","2,415"
"10","Suitcase","COOLIFE Suitcase Trolley Carry On Hand Cabin Luggage Hard Shell Travel Bag Lightweight with TSA Lock and 2 Year Warranty Durable 4 Spinner Wheels (Moon Night Black, S(56cm 38L))","£152.10","4.6 out of 5 stars","3,321"
"11","Suitcase","American Tourister Bon Air Spinner Suitcase 66 cm, 57.5 L, Black","£265.50","4.2 out of 5 stars","13,105"
"12","Suitcase","Samsonite Neopulse - Spinner L, Suitcase, 75 cm, 94 L, Blu (Metallic Blue)","£49.08","4.5 out of 5 stars","209"
"13","Suitcase","British Traveller 28"" Large Suitcase Check in Hold Luggage Lightweight Polypropylene Hard Shell Luggage Durable Travel Suitcase with TSA Lock and 4 Spinner Wheels(White, 76cm 92L)","£66.66","4.3 out of 5 stars","438"
"14","Suitcase","Samsonite Base Boost - Spinner L Expandable Suitcase, 78 cm, 105/112.5 Litre, Black","£116.95","4.6 out of 5 stars","8,414"
